2020-12-25 00:03:01 WARN  ClassPathMapperScanner:44 - No MyBatis mapper was found in '[com.imooc]' package. Please check your configuration.
2020-12-25 00:03:01 INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6cc8798] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-25 00:03:02 INFO  TomcatWebServer:90 - Tomcat initialized with port(s): 8088 (http)
2020-12-25 00:03:02 INFO  ContextLoader:296 - Root WebApplicationContext: initialization completed in 2919 ms
2020-12-25 00:03:05 INFO  ThreadPoolTaskExecutor:171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-25 00:03:05 INFO  MapperCacheDisabler:60 - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-12-25 00:03:05 INFO  MapperCacheDisabler:60 - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-12-25 00:03:05 INFO  MapperCacheDisabler:60 - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-12-25 00:03:05 INFO  MapperCacheDisabler:83 - Clear EntityHelper entityTableMap cache.
2020-12-25 00:03:05 INFO  DocumentationPluginsBootstrapper:84 - Context refreshed
2020-12-25 00:03:05 INFO  DocumentationPluginsBootstrapper:87 - Found 1 custom documentation plugin(s)
2020-12-25 00:03:05 INFO  ApiListingReferenceScanner:44 - Scanning for api listing references
2020-12-25 00:03:05 INFO  CachingOperationNameGenerator:40 - Generating unique operation named: addUsingPOST_1
2020-12-25 00:03:05 INFO  TomcatWebServer:204 - Tomcat started on port(s): 8088 (http) with context path ''
2020-12-25 00:03:05 INFO  Application:59 - Started Application in 7.221 seconds (JVM running for 8.979)
